"timestamp","solved_time","puzzle_id","team_id","name","name-2"
"2022-01-14 11:56:01.41802","2022-01-15 14:25:30.326616+11",22,52,"Plane Tickets are Expensive","Peter Pan"
"2022-01-14 11:56:01.764671","2022-01-15 11:10:05.23235+11",23,52,"Plane Tickets are Expensive","Too Many Toys"
"2022-01-14 11:56:03.216955","2022-01-15 15:25:25.536757+11",29,52,"Plane Tickets are Expensive","The Investigation"
"2022-01-14 11:56:04.964025","2022-01-15 05:47:42.761236+11",19,7,"UNICODE EQUIVALENCE","Ada Twist, Scientist"
"2022-01-14 11:56:05.322475","2022-01-15 05:38:54.825598+11",20,7,"UNICODE EQUIVALENCE","The Missing Piece"
"2022-01-14 11:56:05.649178","2022-01-15 05:16:08.010581+11",21,7,"UNICODE EQUIVALENCE","My First ABC"
"2022-01-14 11:56:05.994959","2022-01-15 05:20:04.703581+11",22,7,"UNICODE EQUIVALENCE","Peter Pan"
"2022-01-14 11:56:06.333551","2022-01-15 05:48:34.028274+11",23,7,"UNICODE EQUIVALENCE","Too Many Toys"
"2022-01-14 11:56:08.801723","2022-01-15 06:39:12.436328+11",29,7,"UNICODE EQUIVALENCE","The Investigation"
"2022-01-14 11:56:10.434231",NULL,19,53,"The Cheese","Ada Twist, Scientist"
"2022-01-14 11:56:10.778636",NULL,20,53,"The Cheese","The Missing Piece"
"2022-01-14 11:56:11.138897",NULL,21,53,"The Cheese","My First ABC"
"2022-01-14 11:56:11.47504",NULL,22,53,"The Cheese","Peter Pan"
"2022-01-14 11:56:11.824619",NULL,23,53,"The Cheese","Too Many Toys"
"2022-01-14 11:56:13.294962",NULL,29,53,"The Cheese","The Investigation"
"2022-01-14 11:56:14.969343","2022-01-15 18:00:49.031928+11",19,12,"Fishterious Mysterfishies","Ada Twist, Scientist"
"2022-01-14 11:56:15.318987","2022-01-15 10:50:50.026062+11",20,12,"Fishterious Mysterfishies","The Missing Piece"
"2022-01-14 11:56:15.647973","2022-01-15 15:31:45.752301+11",21,12,"Fishterious Mysterfishies","My First ABC"
"2022-01-14 11:56:15.979276","2022-01-15 18:33:30.343746+11",22,12,"Fishterious Mysterfishies","Peter Pan"
"2022-01-14 11:56:16.368492","2022-01-16 14:03:37.062863+11",23,12,"Fishterious Mysterfishies","Too Many Toys"
"2022-01-14 11:56:17.930864","2022-01-16 08:11:21.586945+11",29,12,"Fishterious Mysterfishies","The Investigation"
"2022-01-14 11:56:19.692713","2022-01-15 13:23:42.197941+11",19,54,"Methods of Rationality","Ada Twist, Scientist"
"2022-01-14 11:56:20.050392","2022-01-16 02:11:03.579261+11",20,54,"Methods of Rationality","The Missing Piece"
"2022-01-14 11:56:20.435226","2022-01-16 03:59:55.149442+11",21,54,"Methods of Rationality","My First ABC"
"2022-01-14 11:56:20.797804","2022-01-15 14:38:40.380379+11",22,54,"Methods of Rationality","Peter Pan"
"2022-01-14 11:56:21.159003","2022-01-16 05:49:15.401823+11",23,54,"Methods of Rationality","Too Many Toys"
"2022-01-14 11:56:22.662674","2022-01-16 17:12:26.547637+11",29,54,"Methods of Rationality","The Investigation"
"2022-01-14 11:56:24.37464",NULL,19,55,"Roblox","Ada Twist, Scientist"
"2022-01-14 11:56:24.728386",NULL,20,55,"Roblox","The Missing Piece"
"2022-01-14 11:56:25.098781",NULL,21,55,"Roblox","My First ABC"
"2022-01-14 11:56:25.460521",NULL,22,55,"Roblox","Peter Pan"
"2022-01-14 11:56:25.818332",NULL,23,55,"Roblox","Too Many Toys"
"2022-01-14 11:56:27.375239",NULL,29,55,"Roblox","The Investigation"
"2022-01-14 11:56:29.071077","2022-01-15 05:43:01.506423+11",19,14,"Unseen","Ada Twist, Scientist"
"2022-01-14 11:56:29.405282","2022-01-15 06:33:24.020541+11",20,14,"Unseen","The Missing Piece"
"2022-01-14 11:56:29.786064","2022-01-15 05:55:22.10729+11",21,14,"Unseen","My First ABC"
"2022-01-14 11:56:30.146036","2022-01-15 06:46:06.529643+11",22,14,"Unseen","Peter Pan"
"2022-01-14 11:56:30.486014","2022-01-15 13:33:50.154157+11",23,14,"Unseen","Too Many Toys"
"2022-01-14 11:56:32.065544","2022-01-15 08:52:25.396408+11",29,14,"Unseen","The Investigation"
"2022-01-14 11:56:33.777712","2022-01-16 15:32:12.471386+11",19,13,"Great Personality","Ada Twist, Scientist"
"2022-01-14 11:56:34.134683","2022-01-15 10:19:38.602308+11",20,13,"Great Personality","The Missing Piece"
"2022-01-14 11:56:34.494193","2022-01-15 07:29:22.776242+11",21,13,"Great Personality","My First ABC"
"2022-01-14 11:56:34.836482","2022-01-16 03:49:33.091502+11",22,13,"Great Personality","Peter Pan"
"2022-01-14 11:56:35.176406","2022-01-17 07:30:21.55577+11",23,13,"Great Personality","Too Many Toys"
"2022-01-14 11:56:36.65081",NULL,29,13,"Great Personality","The Investigation"
"2022-01-14 11:56:38.369778","2022-01-15 13:03:35.498727+11",19,78,"MIT University Band","Ada Twist, Scientist"
"2022-01-14 11:56:38.757511","2022-01-15 10:34:58.777682+11",20,78,"MIT University Band","The Missing Piece"
"2022-01-14 11:56:39.110715","2022-01-15 07:13:39.972712+11",21,78,"MIT University Band","My First ABC"
"2022-01-14 11:56:39.440343","2022-01-15 15:00:21.370815+11",22,78,"MIT University Band","Peter Pan"
"2022-01-14 11:56:39.80726","2022-01-16 12:48:21.481932+11",23,78,"MIT University Band","Too Many Toys"
"2022-01-14 11:56:41.347592","2022-01-16 06:16:33.601586+11",29,78,"MIT University Band","The Investigation"
"2022-01-14 11:56:43.065784","2022-01-15 09:04:38.669088+11",19,15,"HighFive","Ada Twist, Scientist"
"2022-01-14 11:56:43.403227","2022-01-15 06:17:02.555444+11",20,15,"HighFive","The Missing Piece"
"2022-01-14 11:56:43.7374","2022-01-15 07:46:07.058672+11",21,15,"HighFive","My First ABC"
"2022-01-14 11:56:44.10254","2022-01-16 09:10:40.609338+11",22,15,"HighFive","Peter Pan"
"2022-01-14 11:56:44.439957","2022-01-15 11:36:52.701996+11",23,15,"HighFive","Too Many Toys"
"2022-01-14 11:56:45.937729","2022-01-16 11:25:52.285346+11",29,15,"HighFive","The Investigation"
"2022-01-14 11:56:47.614486",NULL,19,56,"Richie Bear","Ada Twist, Scientist"
"2022-01-14 11:56:47.984463","2022-01-15 12:04:25.58351+11",20,56,"Richie Bear","The Missing Piece"
"2022-01-14 11:56:48.342148","2022-01-15 14:28:44.475931+11",21,56,"Richie Bear","My First ABC"
"2022-01-14 11:56:48.709249",NULL,22,56,"Richie Bear","Peter Pan"
"2022-01-14 11:56:49.042174",NULL,23,56,"Richie Bear","Too Many Toys"
"2022-01-14 11:56:50.46816",NULL,29,56,"Richie Bear","The Investigation"
"2022-01-14 11:56:52.225099",NULL,19,17,"It's 70 Degrees Here You Miserable Beavers","Ada Twist, Scientist"
"2022-01-14 11:56:52.57109",NULL,20,17,"It's 70 Degrees Here You Miserable Beavers","The Missing Piece"
"2022-01-14 11:56:52.904418",NULL,21,17,"It's 70 Degrees Here You Miserable Beavers","My First ABC"
"2022-01-14 11:56:53.261945",NULL,22,17,"It's 70 Degrees Here You Miserable Beavers","Peter Pan"
"2022-01-14 11:56:53.598732",NULL,23,17,"It's 70 Degrees Here You Miserable Beavers","Too Many Toys"
"2022-01-14 11:56:55.076889",NULL,29,17,"It's 70 Degrees Here You Miserable Beavers","The Investigation"
"2022-01-14 11:56:56.701898","2022-01-15 06:27:26.493102+11",19,18,"Nope","Ada Twist, Scientist"
"2022-01-14 11:56:57.063145","2022-01-15 07:19:56.974289+11",20,18,"Nope","The Missing Piece"
"2022-01-14 11:56:57.384382","2022-01-15 06:52:16.498369+11",21,18,"Nope","My First ABC"
"2022-01-14 11:56:57.721504","2022-01-16 14:05:07.649583+11",22,18,"Nope","Peter Pan"
"2022-01-14 11:56:58.081569","2022-01-15 19:39:09.452051+11",23,18,"Nope","Too Many Toys"
"2022-01-14 11:56:59.677855","2022-01-16 15:00:18.620272+11",29,18,"Nope","The Investigation"
"2022-01-14 11:57:01.349387",NULL,19,21,"fstock96","Ada Twist, Scientist"
"2022-01-14 11:57:01.714773",NULL,20,21,"fstock96","The Missing Piece"
"2022-01-14 11:57:02.056776","2022-01-16 09:53:18.757008+11",21,21,"fstock96","My First ABC"
"2022-01-14 11:57:02.443026",NULL,22,21,"fstock96","Peter Pan"
"2022-01-14 11:57:02.789534",NULL,23,21,"fstock96","Too Many Toys"
"2022-01-14 11:57:04.426339",NULL,29,21,"fstock96","The Investigation"
"2022-01-14 11:57:06.08553","2022-01-15 08:20:26.752697+11",19,68,"Entire Contingent of /r/PictureGame","Ada Twist, Scientist"
"2022-01-14 11:57:06.450366","2022-01-15 05:31:41.854879+11",20,68,"Entire Contingent of /r/PictureGame","The Missing Piece"
"2022-01-14 11:57:06.835879","2022-01-15 05:29:50.599203+11",21,68,"Entire Contingent of /r/PictureGame","My First ABC"
"2022-01-14 11:57:07.223681","2022-01-15 06:11:25.747396+11",22,68,"Entire Contingent of /r/PictureGame","Peter Pan"
"2022-01-14 11:57:07.57928","2022-01-15 06:44:12.313758+11",23,68,"Entire Contingent of /r/PictureGame","Too Many Toys"
"2022-01-14 11:57:09.158231","2022-01-15 08:40:19.831035+11",29,68,"Entire Contingent of /r/PictureGame","The Investigation"
"2022-01-14 11:57:10.847458","2022-01-15 07:27:05.342907+11",19,35,"WE ARE NOT HERE TO COMPETE!","Ada Twist, Scientist"
